School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Oak Grove,33.07,16.29,49.36,1,2,1
Maryville,32.21,12.58,44.79,2,6,2
California,20.36,15.01,35.37,3,5,3
John Burroughs,19.07,15.55,34.62,4,4,4
Monett,13.34,18.7,32.03,7,1,5
O'Hara,18.6,12.0,30.6,5,7,6
Blair Oaks,11.78,15.7,27.48,9,3,7
Mountain Grove,7.91,11.53,19.44,11,8,8
Hogan Prep Academy Charter,16.44,2.3,18.74,6,21,9
Central (Park Hills),9.5,7.87,17.37,10,13,10
Odessa,5.49,10.88,16.37,13,9,11
Osage,12.22,1.9,14.13,8,23,12
St. Pius X (Kansas City),2.96,9.67,12.63,18,10,13
Ava,5.82,6.39,12.22,12,15,14
Cassville,5.26,4.01,9.27,14,18,15
Orchard Farm,-1.09,7.88,6.79,25,12,16
Richmond,3.27,3.4,6.68,16,19,17
Chillicothe,0.96,5.72,6.67,23,16,18
Reeds Spring,-2.96,8.4,5.44,32,11,19
Fulton,3.85,-0.12,3.73,15,26,20
Macon,-2.76,4.45,1.69,30,17,21
Aurora,-5.74,6.62,0.88,38,14,22
Veritas Christian Academy,3.07,-2.95,0.12,17,34,23
Soldan International Studies,2.39,-2.79,-0.39,20,31,24
Kennett,2.61,-3.09,-0.48,19,35,25
Centralia,2.17,-2.78,-0.61,21,30,26
Lincoln College Prep,-3.29,1.61,-1.68,33,24,27
Ste. Genevieve,-4.12,1.98,-2.14,35,22,28
Salem,-2.54,-0.64,-3.18,29,27,29
Southern Boone,-4.04,0.72,-3.31,34,25,30
McCluer South-Berkeley,-0.95,-2.89,-3.84,24,33,31
Eldon,-1.94,-3.48,-5.41,27,36,32
Potosi,-8.96,3.06,-5.9,43,20,33
Boonville,-6.5,-2.42,-8.92,39,29,34
Dexter,-2.12,-8.09,-10.21,28,44,35
Bishop DuBourg,1.14,-13.28,-12.14,22,52,36
St. Pius X (Festus),-2.84,-9.67,-12.52,31,48,37
Fredericktown,-11.32,-1.24,-12.56,45,28,38
Central (New Madrid County),-5.43,-7.87,-13.3,37,43,39
Mt. Vernon,-1.46,-12.49,-13.96,26,51,40
Seneca,-11.24,-2.84,-14.08,44,32,41
Owensville,-7.42,-7.85,-15.27,41,42,42
Cameron,-7.41,-8.71,-16.12,40,46,43
Clinton,-12.77,-3.67,-16.44,46,37,44
St. James,-4.43,-14.55,-18.99,36,56,45
Pembroke Hill,-14.16,-5.41,-19.56,49,39,46
Duchesne,-13.49,-7.49,-20.98,47,41,47
Warsaw,-16.32,-5.29,-21.61,54,38,48
Wright City,-15.54,-8.59,-24.13,52,45,49
Confluence Prep Academy Charter,-13.74,-10.71,-24.45,48,49,50
Sumner,-20.34,-6.22,-26.56,59,40,51
Central (Kansas City),-14.68,-14.26,-28.95,50,55,52
Versailles,-17.94,-13.64,-31.59,55,53,53
Southwest Early College Campus,-21.41,-12.02,-33.43,61,50,54
Northeast (Kansas City),-19.09,-14.87,-33.96,58,57,55
East Newton,-15.24,-18.89,-34.13,51,60,56
Normandy Collaborative,-18.41,-15.82,-34.23,57,58,57
Springfield Catholic,-15.66,-19.18,-34.84,53,61,58
Lift for Life Academy Charter,-21.46,-13.82,-35.28,62,54,59
Northeast Kansas City,-26.29,-9.07,-35.36,64,47,60
East (Kansas City),-20.85,-17.91,-38.76,60,59,61
Hollister,-22.45,-20.62,-43.07,63,63,62
Winfield,-7.97,-36.6,-44.57,42,66,63
East Kansas City,-18.28,-31.07,-49.35,56,65,64
Buffalo,-27.19,-22.24,-49.43,65,64,65
Missouri Military Academy,-29.62,-20.09,-49.71,66,62,66
