Date,Home Team,Home Score,Away Team,Away Score
2014-08-21,Miller Career Academy,34,McCluer,6
2014-08-22,Windsor (Imperial),0,Affton,43
2014-08-22,Drexel with Miami (Amoret),40,Appleton City with Montrose,20
2014-08-22,Crest Ridge,52,Archie,0
2014-08-22,Cabool,12,Ash Grove,6
2014-08-22,Cassville,36,Aurora,12
2014-08-22,Marshfield,22,Ava,58
2014-08-22,Raymore-Peculiar,31,Belton,13
2014-08-22,Lutheran South,42,Bishop DuBourg,12
2014-08-22,Moberly,3,Blair Oaks,21
2014-08-22,Staley,13,Blue Springs,39
2014-08-22,Ozark,27,Bolivar,25
2014-08-22,Orrick,8,Braymer,50
2014-08-22,Crystal City,26,Brentwood,61
2014-08-22,South Shelby,8,Brookfield,43
2014-08-22,Adrian,42,Butler,12
2014-08-22,Boonville,0,California,44
2014-08-22,Plattsburg,18,Cameron,13
2014-08-22,Trenton,28,Carrollton,30
2014-08-22,Webb City,21,Carthage,0
2014-08-22,University Academy Charter,6,Center,40
2014-08-22,Sullivan,27,Central (Park Hills),34
2014-08-22,Branson,42,Central (Springfield),24
2014-08-22,Highland,6,Centralia,42
2014-08-22,Marshall,6,Chillicothe,14
2014-08-22,Lutheran North,49,Clayton,0
2014-08-22,Warsaw,20,Clinton,14
2014-08-22,Winfield,22,Clopton with Elsberry,50
2014-08-22,Skyline,13,Cole Camp,36
2014-08-22,St. James,12,Cuba,6
2014-08-22,Pacific,28,DeSoto with Kingston,20
2014-08-22,McAuley Catholic,7,Diamond,34
2014-08-22,Carl Junction,44,East Newton,12
2014-08-22,Kelly,7,East Prairie,29
2014-08-22,Warrensburg,14,Excelsior Springs,7
2014-08-22,Buffalo,7,Fair Grove,33
2014-08-22,Ladue Horton Watkins,46,Farmington,7
2014-08-22,Harrisburg,0,Father Tolton with Calvary Lutheran,63
2014-08-22,Hallsville,54,Fayette,6
2014-08-22,Webster Groves,12,Francis Howell,58
2014-08-22,Ft. Zumwalt East,35,Francis Howell Central,7
2014-08-22,Vianney,42,Francis Howell North,13
2014-08-22,St. Charles West,17,Ft. Zumwalt North,27
2014-08-22,St. Mary's South Side,14,Gateway,13
2014-08-22,Savannah,19,Grain Valley,15
2014-08-22,Ruskin,6,Grandview,33
2014-08-22,Chaffee,6,Grandview (Hillsboro),20
2014-08-22,Benton,14,Harrisonville,20
2014-08-22,Camdenton,35,Hillcrest,14
2014-08-22,Oak Grove,45,Holden,6
2014-08-22,Ft. Zumwalt West,42,Holt,7
2014-08-22,Hollister,26,Houston,22
2014-08-22,Battle,34,Jackson,62
2014-08-22,John F. Kennedy,28,Jefferson (Festus),45
2014-08-22,McCluer North,0,Jefferson City,17
2014-08-22,Glendale,12,Joplin,42
2014-08-22,Central (St. Joseph),0,Kearney,49
2014-08-22,Fredericktown,19,Kennett,32
2014-08-22,Mid-Buchanan,12,King City with Pattonsburg,38
2014-08-22,Versailles,26,Knob Noster,0
2014-08-22,Marceline,42,Knox County,8
2014-08-22,Eureka,17,Lafayette (Wildwood),15
2014-08-22,Concordia,7,Lafayette County,49
2014-08-22,Mt. Vernon,0,Lamar,63
2014-08-22,Maryville,45,Lawson,14
2014-08-22,Park Hill South,16,Lee's Summit North,13
2014-08-22,Liberty,14,Lee's Summit West,44
2014-08-22,Tipton,0,Lexington,40
2014-08-22,Caruthersville,14,Liberty (Mountain View),52
2014-08-22,Raytown,0,Liberty North,30
2014-08-22,Kirkwood,48,Lindbergh,9
2014-08-22,Liberal with Bronaugh,6,Lockwood with Golden City,56
2014-08-22,Bowling Green,47,Louisiana,14
2014-08-22,Principia,7,Lutheran St. Charles,42
2014-08-22,Central (New Madrid County),26,Malden,54
2014-08-22,Confluence Prep Academy Charter,14,Maplewood-Richmond Hts.,26
2014-08-22,Miller,34,Marionville,30
2014-08-22,Ritenour,31,Marquette,7
2014-08-22,East Buchanan,48,Maysville,29
2014-08-22,Chaminade College Preparatory,50,Mehlville,7
2014-08-22,North Callaway,12,Mexico,35
2014-08-22,Osceola,22,Midway,28
2014-08-22,Seneca,0,Monett,55
2014-08-22,Clark County,22,Monroe City,40
2014-08-22,Hermann,61,Montgomery County,12
2014-08-22,Logan-Rogersville,0,Mountain Grove,36
2014-08-22,McDonald County,0,Neosho,50
2014-08-22,Willard,43,Nevada,26
2014-08-22,Roosevelt,35,North County,20
2014-08-22,Lafayette (St. Joseph),50,North Kansas City,20
2014-08-22,Gallatin,35,North Platte,3
2014-08-22,Winnetonka,45,Oak Park,13
2014-08-22,Fulton,14,Osage,41
2014-08-22,Macon,21,Palmyra,0
2014-08-22,Schuyler County,7,Paris,38
2014-08-22,Blue Springs South,18,Park Hill,43
2014-08-22,Kickapoo,28,Parkview,13
2014-08-22,Rockwood Summit,21,Parkway Central,9
2014-08-22,Oakville,6,Parkway South,10
2014-08-22,Union,39,Parkway West,49
2014-08-22,Seckman,0,Pattonville,28
2014-08-22,Bishop LeBlond,28,Pembroke Hill,6
2014-08-22,South Harrison,28,Penney,35
2014-08-22,Sumner,12,Perryville,13
2014-08-22,William Chrisman,0,Platte County,41
2014-08-22,Smithville,17,Pleasant Hill,0
2014-08-22,Fox,21,Poplar Bluff,35
2014-08-22,Milan,42,Princeton with Mercer,7
2014-08-22,Fort Osage,51,Raytown South,26
2014-08-22,Willow Springs,7,Reeds Spring,24
2014-08-22,Smith-Cotton,7,Republic,22
2014-08-22,Lincoln,50,Rich Hill with Hume,21
2014-08-22,O'Hara,49,Richmond,20
2014-08-22,Rockhurst,49,Rock Bridge,14
2014-08-22,Lebanon,48,Rolla,31
2014-08-22,Scotland County,0,Salisbury,47
2014-08-22,Slater,14,Santa Fe,66
2014-08-22,Jasper,44,Sarcoxie,7
2014-08-22,Herculaneum,26,Scott City,22
2014-08-22,Pleasant Hope,0,Sherwood,36
2014-08-22,Charleston,20,Sikeston,66
2014-08-22,Putnam County,6,South Callaway,55
2014-08-22,Northeast (Kansas City),28,Southeast,0
2014-08-22,St. Pius X (Festus),27,Southern Boone,26
2014-08-22,Duchesne,7,St. Charles,35
2014-08-22,Owensville,12,St. Francis Borgia,48
2014-08-22,Sacred Heart,12,St. Paul Lutheran (Concordia),27
2014-08-22,Odessa,21,St. Pius X (Kansas City),20
2014-08-22,Dexter,21,Ste. Genevieve,27
2014-08-22,El Dorado Springs,14,Stockton,28
2014-08-22,Springfield Catholic,0,Strafford,56
2014-08-22,Hayti,12,Thayer,18
2014-08-22,Parkway North,21,Timberland,33
2014-08-22,Ft. Zumwalt South,42,Troy Buchanan,27
2014-08-22,Lee's Summit,81,Truman,42
2014-08-22,St. Vincent,0,Valle Catholic,56
2014-08-22,Lathrop,3,Van Horn,9
2014-08-22,North Shelby,0,Van-Far with Community,46
2014-08-22,Central (Cape Girardeau),44,Vashon,34
2014-08-22,Orchard Farm,16,Veritas Christian Academy,7
2014-08-22,St. Dominic,23,Warrenton,26
2014-08-22,St. Clair,21,Washington,26
2014-08-22,West Plains,21,Waynesville,14
2014-08-22,Lone Jack,20,Wellington-Napoleon,52
2014-08-22,East (Kansas City),6,West Platte,42
2014-08-22,Mark Twain,26,Westran,40
2014-08-22,Sweet Springs with Malta Bend,8,Windsor,38
2014-08-22,Trinity Catholic,28,Wright City,24
2014-08-23,Portageville,42,Barat Academy,0
2014-08-23,Hogan Prep Academy Charter,37,Central (Kansas City),0
2014-08-23,De Smet Jesuit,24,Hazelwood Central,49
2014-08-23,Northwest (Cedar Hill),19,Hazelwood West,29
2014-08-23,Nixa,2,Helias Catholic,27
2014-08-23,Cardinal Ritter,0,John Burroughs,43
2014-08-23,Miller Career Academy,34,McCluer,6
2014-08-23,Cleveland NJROTC,0,McCluer South-Berkeley,40
2014-08-23,Hannibal,28,MICDS,14
2014-08-23,Lift for Life Academy Charter,8,Normandy Collaborative,21
2014-08-23,Carnahan,18,Potosi,35
2014-08-23,Soldan International Studies,24,Priory,21
2014-08-23,Jennings,45,Riverview Gardens,10
2014-08-23,Kirksville,12,Salem,34
2014-08-23,Polo,32,Summit Christian Academy,27
2014-08-23,Liberty (Wentzville),2,Transportation and Law with Beaumont,20
2014-08-23,Festus,0,Westminster Christian Academy,27
2014-08-28,East (Kansas City),0,Lincoln College Prep,47
2014-08-28,Parkway North,14,McCluer,0
2014-08-28,North Platte,14,University Academy Charter,38
2014-08-28,Lee's Summit North,14,Winnetonka,42
2014-08-29,Osceola,40,Appleton City with Montrose,8
2014-08-29,Stockton,8,Ash Grove,0
2014-08-29,North Kansas City,7,Belton,20
2014-08-29,Grain Valley,7,Benton,21
2014-08-29,Van Horn,27,Bishop LeBlond,48
2014-08-29,Liberty North,35,Blue Springs South,0
2014-08-29,Lafayette County,47,Boonville,22
2014-08-29,Palmyra,22,Bowling Green,14
2014-08-29,Bolivar,14,Branson,38
2014-08-29,Hollister,14,Cabool,31
2014-08-29,Mexico,0,California,21
2014-08-29,Excelsior Springs,28,Cameron,6
2014-08-29,Lift for Life Academy Charter,19,Cardinal Ritter,56
2014-08-29,Lafayette (St. Joseph),14,Carthage,49
2014-08-29,Malden,47,Caruthersville,0
2014-08-29,Mountain Grove,30,Cassville,19
2014-08-29,Nevada,14,Center,33
2014-08-29,St. Charles West,21,Central (Cape Girardeau),41
2014-08-29,Sikeston,35,Central (New Madrid County),6
2014-08-29,Jefferson (Festus),7,Central (Park Hills),55
2014-08-29,Portageville,35,Chaffee,0
2014-08-29,Timberland,16,Chaminade College Preparatory,6
2014-08-29,Centralia,34,Clark County,0
